Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
c39719dd-2ca8-aa4d-091f-f2eb709b4e5f,1995-11-28,,999-84-7690,S99930779,X49661468X,Mr.,Colin861,Wyman904,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,299 Haag Dam Suite 60,Boston,Massachusetts,Suffolk County,02125,42.400624131767664,-71.04412360895742,845040.31,1452.46,78641
205f7c9f-476a-dd97-ce69-84e0713c3206,1971-10-08,,999-27-9015,S99967295,X65716337X,Mr.,Dillon740,Halvorson124,,,M,asian,nonhispanic,M,Lexington  Massachusetts  US,678 Koepp Underpass,Wrentham,Massachusetts,Norfolk County,,42.02849708448269,-71.3200929821186,1326707.35,621.94,980398
d14f3c4b-f912-0a2a-3b78-e492e09ab70c,1978-11-29,,999-57-4841,S99922837,X59233721X,Mrs.,Steffanie515,O'Keefe54,,Walter473,M,white,nonhispanic,F,Weymouth  Massachusetts  US,988 Pagac Mews,Harwich,Massachusetts,Barnstable County,,41.64904827727312,-70.09556080374355,1580590.99,32527.53,81820
ed8b8b0e-5a47-10a0-6d04-e7902967b082,1956-01-31,,999-13-6391,S99971333,X29967475X,Mrs.,Glendora96,Satterfield305,,Hickle134,M,white,nonhispanic,F,Fairhaven  Massachusetts  US,457 Lockman Avenue Suite 67,Bridgewater,Massachusetts,Plymouth County,02324,41.935726059532264,-70.99247809091487,2191715.77,316929.18,387807
e5e83eb8-0d46-508c-1246-cf4e8d2705b5,1992-09-28,,999-12-9401,S99977593,X43536240X,Ms.,Dolores502,Salazar800,,,S,white,hispanic,F,Ponce  Puerto Rico  PR,390 Bailey Vale,Newburyport,Massachusetts,Essex County,,42.82732706076897,-70.87135791214232,1508044.35,12571.11,21641
f8ad0421-ec4d-ff36-de69-932f661fb635,1961-06-28,,999-94-8957,S99980794,X9958161X,Mr.,Edgar153,Stark857,,,S,white,nonhispanic,M,Marshfield  Massachusetts  US,209 Baumbach Crossing Unit 45,Natick,Massachusetts,Middlesex County,,42.277808130104496,-71.31181840186377,3393816.87,89070.75,684798
169c34c7-cd50-d882-0483-f60fb53f9386,1970-05-08,,999-99-9402,S99910302,X5814261X,Mr.,Marvin195,Morar593,,,M,white,nonhispanic,M,Haverhill  Massachusetts  US,146 Hilpert Dale,Plymouth,Massachusetts,Plymouth County,02360,41.933603169101936,-70.66283400051961,1465334.82,57370.68,546598
3430d298-4c47-429c-cc2a-fac101df48b0,1965-02-16,,999-79-2304,S99965897,X28477450X,Mrs.,Johnnie679,Maggio310,,Feeney44,M,black,nonhispanic,F,Framingham  Massachusetts  US,761 Jenkins Rapid,Fall River,Massachusetts,Bristol County,,41.674955679980215,-71.14964042048938,1824961.22,445934.33,38918
304dac79-58c6-3f90-d409-7d2c92d3bf67,2021-05-03,,999-92-9059,,,,Neville893,Kiehn525,,,,white,nonhispanic,M,Manchester-by-the-Sea  Massachusetts  US,306 Huels Key,Cambridge,Massachusetts,Middlesex County,02142,42.39892311945386,-71.03210758505767,92200.33,240.60,50094
2b4590c2-cb6b-a295-e8a8-7ad7db026db4,1942-03-05,1944-10-28,999-37-5325,,,,Thora330,Huels583,,,,white,nonhispanic,F,Lowell  Massachusetts  US,215 Dooley Grove Suite 75,Uxbridge,Massachusetts,Worcester County,,42.094527903639765,-71.60525793596149,94306.98,0.00,21441
4621bdbc-ad7c-bd10-a292-92629b001dc6,2009-01-15,,999-60-5375,,,,Retta782,Stokes453,,,,white,nonhispanic,F,Barnstable  Massachusetts  US,106 Corkery Park,Rochester,Massachusetts,Plymouth County,,41.762466601465924,-70.8857621060472,870384.69,96.06,86298
c4c484f1-f9f5-f2aa-605d-6b725142c4aa,1971-05-04,1992-03-24,999-93-1899,S99940881,X57463402X,Ms.,Dallas143,Pfannerstill264,,,,white,nonhispanic,F,Lynnfield  Massachusetts  US,602 Romaguera Esplanade,Worcester,Massachusetts,Worcester County,01604,42.26485836365241,-71.7703882803352,672555.94,0.00,112122
cda12863-3b9b-2b15-bc7a-1b8dbf383d34,2011-02-04,,999-58-7717,,,,Jacob959,Breitenberg711,,,,black,nonhispanic,M,Marblehead  Massachusetts  US,1002 Upton Terrace,Boston,Massachusetts,Suffolk County,02128,42.38493012067937,-71.06494004998899,368154.81,205.69,43670
